Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","356","India","5510","Production","0118","Millet","2021","2021","tonnes","13210000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1961","1961","tonnes","500","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1962","1962","tonnes","500","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1963","1963","tonnes","500","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1964","1964","tonnes","500","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1965","1965","tonnes","800","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1966","1966","tonnes","800","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1967","1967","tonnes","900","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1968","1968","tonnes","1000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1969","1969","tonnes","1000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1970","1970","tonnes","1000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1971","1971","tonnes","1000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1972","1972","tonnes","1000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1973","1973","tonnes","1000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1974","1974","tonnes","1200","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1975","1975","tonnes","1200","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1976","1976","tonnes","1300","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1977","1977","tonnes","1200","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1978","1978","tonnes","1300","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1979","1979","tonnes","1300","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1980","1980","tonnes","1300","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1981","1981","tonnes","1400","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1982","1982","tonnes","1300","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1983","1983","tonnes","1300","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1984","1984","tonnes","1300","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1985","1985","tonnes","1200","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1986","1986","tonnes","1400","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1987","1987","tonnes","1500","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1988","1988","tonnes","1500","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1989","1989","tonnes","1500","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1990","1990","tonnes","2000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1991","1991","tonnes","4000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1992","1992","tonnes","10000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1993","1993","tonnes","12000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1994","1994","tonnes","16000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1995","1995","tonnes","18000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1996","1996","tonnes","16000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1997","1997","tonnes","9000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1998","1998","tonnes","13500","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","1999","1999","tonnes","14000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2000","2000","tonnes","24000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2001","2001","tonnes","30000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2002","2002","tonnes","40000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2003","2003","tonnes","40000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2004","2004","tonnes","40000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2005","2005","tonnes","40000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2006","2006","tonnes","35000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2007","2007","tonnes","37000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2008","2008","tonnes","37000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2009","2009","tonnes","37000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2010","2010","tonnes","40600","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2011","2011","tonnes","40600","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2012","2012","tonnes","30000","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2013","2013","tonnes","17000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2014","2014","tonnes","28000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2015","2015","tonnes","51000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2016","2016","tonnes","76000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2017","2017","tonnes","102020.79","I","Imputed value"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2018","2018","tonnes","134000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2019","2019","tonnes","182000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2020","2020","tonnes","211000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01270","Mushrooms and truffles","2021","2021","tonnes","243000","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1961","1961","tonnes","26992","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1962","1962","tonnes","31357","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1963","1963","tonnes","37200","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1964","1964","tonnes","44248","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1965","1965","tonnes","49387","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1966","1966","tonnes","53195","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1967","1967","tonnes","62502","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1968","1968","tonnes","68844","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1969","1969","tonnes","79951","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1970","1970","tonnes","89905","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1971","1971","tonnes","92200","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1972","1972","tonnes","101200","A","Official figure"
"QCL","Crops and livestock products","356","India","5510","Production","01950.01","Natural rubber in primary forms","1973","1973","tonnes","112400","A","Official figure"
